id,a,b,c,t,distance
41,2.177250192,-0.375198411,-5.801487942,0,6.207934808
42,-2.489562005,-5.192346621,-6.046362723,0,8.349663741
43,7.561653469,-4.403312608,3.350023537,0,9.369654359
44,-9.338771113,-0.362148527,-3.832612609,0,10.10112453
45,11.28823747,-20.35733185,-3.510141392,1,23.54073826
46,-7.611617626,-0.639162589,-5.645840552,0,9.498461309
47,5.617216268,-0.524075181,1.311016288,0,5.79193725
48,-2.468706055,-9.956979072,1.34493031,1,10.3462447
49,-7.369627887,2.101451518,-6.068831829,0,9.77538917
50,3.991529479,0.143677454,-0.820882173,0,4.077597127
51,-10.11677404,-13.1841702,-14.39748259,1,21.98770033
52,-18.5805154,-12.83192554,9.018739271,1,24.3152529
53,-7.261426831,-1.249826067,-8.141258745,1,10.98045895
54,2.631917935,-7.617781026,-10.05100055,1,12.88333
55,1.082174877,4.709177455,-8.59132043,0,9.856888023
56,5.540510703,4.529141445,5.789564644,0,9.204859578
57,-17.76865393,9.96197762,-0.048892535,1,20.37077444
58,1.196143231,12.39759556,13.3124689,1,18.23055026
59,16.09605713,10.96674108,-10.83061301,1,22.28574978
60,-9.765327275,-6.435591189,-1.485739028,1,11.78922691
61,-1.674620063,4.588431704,10.13263452,0,11.24848168
62,18.47751888,-5.553522151,17.67153169,1,26.16377925
63,21.82252795,14.52686994,-7.376436029,1,27.23351767
64,-4.314923294,4.022303215,-0.643500494,0,5.933934536
65,8.075697561,-1.205055105,0.594726628,0,8.18674225
66,-9.43168984,19.7339623,-11.61451082,1,24.76454931
67,0.594855088,-8.48828963,-5.716949665,0,10.25126465
68,17.68755482,1.250541453,1.610961478,1,17.80473663
69,2.068719635,4.021981388,16.71506484,1,17.316158
70,2.261569981,-7.118981435,-12.80879113,1,14.82766757
71,-3.522994654,-18.85595306,-17.37315743,1,25.88020588
72,2.847698506,6.661451653,-3.224823023,0,7.929931175
73,-6.393038749,7.35498925,0.381420467,0,9.752553147
74,21.92317556,10.55526077,-7.39744001,1,25.43150163
75,4.565309601,1.846794572,-13.95077071,1,14.79448226
76,8.803272155,0.232103584,-7.823161295,1,11.77936014
77,1.24646109,-21.53760915,1.327638132,1,21.61446034
78,-5.911607166,7.320041901,-0.3540087,0,9.415701507
79,-4.41357893,1.197111556,10.41949931,0,11.37887169
80,8.907777108,3.573330277,6.306189209,1,11.48412838
81,-16.28798927,-0.566513366,-8.646182858,1,18.4492821
82,-3.276855685,-6.785852393,-2.362176254,0,7.897180036
83,-15.47165745,-10.53636836,9.896901853,1,21.1739441
84,2.39057418,1.540878945,-4.217256942,0,5.08668939
85,-1.552455571,10.54944717,4.118248182,1,11.43070085
86,1.909922784,1.324152725,10.62189336,0,10.873169
87,-2.622449203,6.06712025,0.902978614,0,6.671023784
88,-3.616679989,-2.783557247,-0.821677776,0,4.63721031
89,6.268378059,-5.076819658,-2.270519723,0,8.379852096
90,-0.094161639,0.459733644,-7.060862862,0,7.076440193
91,19.64596885,17.5387591,-0.207727641,1,26.33657748
92,-0.424514939,1.40592166,3.016985961,0,3.355448247
93,6.174644752,4.343263761,5.036705447,0,9.075162791
94,8.016085068,-2.265509649,-5.862585488,0,10.18626833
95,5.411954261,-18.42949826,-15.00585396,1,24.37439862
96,-2.896912707,-3.646748162,2.544225225,0,5.306972526
97,2.210104419,11.41691999,-21.5682602,1,24.50347877
98,6.502062792,6.169093855,4.088303385,0,9.851333113
99,-20.73326025,-4.730970043,10.4474503,1,23.6938679
100,6.436487242,-4.981894446,-1.2666357,0,8.237232926
101,-1.75177163,-2.088128962,-15.43931585,1,15.67805665
102,9.12020799,-4.886970507,3.443491243,0,10.90496705
103,6.672348158,-7.703740737,-0.041885435,0,10.19164391
104,8.160066673,-9.86997036,-21.17752866,1,24.74854992
105,14.41992763,-5.320642326,4.127401629,1,15.91474134
106,5.150196555,-17.86928331,13.3324881,1,22.882112
107,6.379324623,2.314757346,0.858489053,0,6.840386515
108,0.800673337,2.067756882,-5.720139771,0,6.13487533
109,-4.084097615,-5.626716527,-4.953554789,0,8.536831804
110,18.86322046,16.66562678,-1.217651235,1,25.20013644
111,0.169581715,2.102108145,-2.256041774,0,3.088258586
112,-3.059907174,-8.3853628,6.738180687,0,11.18393581
113,-12.52133424,20.55590203,-7.708717571,1,25.27356813
114,-1.660479273,21.19743808,-3.864619026,1,21.61073467
115,10.96993699,-7.639389544,-16.43731049,1,21.18690553
116,0.083079676,15.6980409,21.98074187,1,27.01089416
117,-19.21857841,-5.57246054,13.01466252,1,23.87022231
118,-11.93850702,-12.12885233,20.67976085,1,26.78226125
119,-18.06459426,-2.757864266,-4.992753726,1,18.94367892
120,4.530581044,-0.184066316,3.444861098,0,5.694480924
121,-7.686389152,2.230085086,0.315202065,0,8.009569903
122,0.078824439,3.744727586,-10.38647256,0,11.04119605
123,-8.285695254,2.518590204,-3.788339339,0,9.452383689
124,-16.73524034,-3.751566459,21.97772474,1,27.87764166
125,11.0176617,14.37808147,-19.46188288,1,26.58727104
126,-0.763669235,-2.416683009,-0.250612366,0,2.546832155
127,-3.084740372,9.607853148,-4.038913137,1,10.86918969
128,2.844723206,-1.502099541,-2.363665477,0,3.991950355
129,-0.527762136,6.032866715,6.086336746,0,8.585890091
130,1.415076321,-4.39065749,-4.363788039,0,6.350036239
131,-2.409899583,-18.56093017,-18.08750982,1,26.02832604
132,17.75719956,19.68214455,2.970517065,1,26.67449947
133,-8.442637785,-0.007615565,-13.99949326,1,16.34821098
134,-0.111692081,5.495567613,6.462991024,0,8.484338011
135,17.1461195,8.819164441,15.71238478,1,24.87259758
136,0.010857305,-0.086717211,-6.064331335,0,6.06496103
137,0.683450923,9.616775198,2.300135284,0,9.911614031
138,9.584467848,0.40792418,0.92332233,0,9.637476339
139,-6.603485394,3.619169731,-7.417911362,0,10.57023263
140,-8.492939837,2.618109035,-0.330557231,0,8.893468957
141,16.09639205,14.30425354,-5.562734309,1,22.2407176
142,-5.393163261,3.663243483,-8.647369373,1,10.82970728
143,-2.226487026,-2.45092716,-4.795983834,0,5.828014186
144,1.669907328,4.850506855,6.19215051,0,8.04106555
145,-17.15762789,6.732811481,-16.17159251,1,24.52010094
146,2.368637151,3.101046154,-15.80562733,1,16.28019609
147,9.433294229,-1.108315326,-0.597275234,0,9.516939665
148,-6.650664858,-1.388855717,-6.501364224,0,9.403616327
149,-0.507094275,-3.748249977,-21.64321731,1,21.97123979
150,8.395267129,15.25311329,-11.09627952,1,20.64619564
151,-17.54086573,-4.072810027,-3.391589142,1,18.32409967
152,1.611000256,-5.002808904,4.028507719,0,6.622106402
153,-5.322007512,5.288817208,2.347046829,0,7.861550752
154,-11.946915,-19.35565069,-15.50963497,1,27.53032453
155,-8.631762097,4.684053189,-2.412659689,0,10.11279378
156,11.28766106,0.832659205,-3.931542606,0,11.98172111
157,-15.25615378,4.846215948,-9.499436186,1,18.61384767
158,4.655889508,-19.71163444,7.767238182,1,21.69229883
159,-19.61940731,-8.847382451,9.590976172,1,23.56234588
160,1.03058653,-10.22764554,18.02892636,1,20.75353048
161,-3.811405273,-7.230363965,-3.950331856,0,9.078000605
162,-0.421249057,3.633756753,-7.136340287,0,8.019288722
163,0.712394655,2.862329297,-6.541746076,0,7.175993094
164,-3.914364061,-1.051427315,5.016890689,0,6.449568791
165,-18.10573886,15.20065171,-5.913091943,1,24.36887869
166,-10.68718282,8.081832764,17.14975155,1,21.7634068
167,-0.966956725,-8.847755544,-5.349455148,0,10.38433695
168,3.704135398,2.251644145,-5.471054441,0,6.980183171
169,-18.7891364,-2.580244864,-9.914893114,1,21.40080409
170,-20.56376544,-1.170198654,6.585743764,1,21.62428808
171,5.097082317,7.268503296,-1.778189066,0,9.053913224
172,12.60970656,18.7025186,-15.6890572,1,27.4760881
173,-16.39271481,-1.567566247,-4.698417525,1,17.12464569
174,8.089642092,20.75818476,11.58398631,1,25.11042179
175,4.413895281,-6.443562828,3.380719477,0,8.510654361
176,10.48981192,-21.66665963,20.09920356,1,31.36013835
177,19.60143043,11.5341076,14.14095253,1,26.78093075
178,1.258226472,-19.15549101,-15.58377996,1,24.72590074
179,6.704607063,-1.737590474,0.077103436,0,6.92653748
180,3.553253784,-9.596184646,-15.98462967,1,18.97948255
181,16.34213601,14.97233322,2.140419575,1,22.26696134
182,16.3089619,10.84303316,3.704350998,1,19.93177921
183,-2.776612036,9.717587121,21.65225471,1,23.89479457
184,7.072255351,3.055029984,-7.574379632,0,10.80376003
185,0.116307913,-6.646909046,5.441326005,0,8.590864688
186,-1.624719092,2.386586938,0.596978125,0,2.948201523
187,5.35114574,0.991094546,4.107106156,0,6.818016582
188,-21.15018762,-7.619705503,7.059429847,1,23.56323191
189,3.162192934,-8.708422249,3.352680516,0,9.852743215
190,6.331642522,-5.904332865,0.75057967,0,8.689891452
191,-18.07816509,2.318330637,20.46814094,1,27.40692437
192,0.389623047,2.829871411,2.055578385,0,3.519286976
193,-21.77506544,6.569315259,17.08943123,1,28.44921857
194,0.19003301,-2.998406723,4.639710089,0,5.527518895
195,-3.771521408,-0.186045384,-0.409737939,0,3.798272212
196,15.5670776,8.89771411,18.4956653,1,25.76029612
197,0.132173525,15.64891002,2.039001624,1,15.78174205
198,-0.559191068,6.793449602,-11.17528542,1,13.09009764
199,-1.945312436,-7.945960639,2.875541943,0,8.671290125
200,-0.904603828,1.863847359,9.252616503,0,9.481727017
201,-3.677422541,-12.1183097,19.66298651,1,23.38824288
202,-11.464934,-16.99273114,14.0811483,1,24.86918496
203,5.786797049,1.165660284,6.626342342,0,8.874356135
204,3.14823311,-9.641447833,0.366232294,0,10.14904006
205,-20.36903199,16.04739931,21.57366397,1,33.73187611
206,-4.248405978,1.690495708,-7.320939909,0,8.631505677
207,-1.115863632,4.857824477,-9.190384959,0,10.45498857
208,-2.566685327,4.54241555,-1.466192809,0,5.41951418
209,-2.358304328,4.055219441,1.542786387,0,4.93827843
210,7.497528414,-1.568557826,-3.973085921,0,8.6289465
211,2.903347296,6.386260823,-0.682559118,0,7.048378521
212,-10.68837428,-17.26505086,-16.09218692,1,25.90910662
213,8.317504343,-4.523280759,-1.782871914,0,9.634291856
214,13.36343937,-18.24398373,19.53963145,1,29.88681401
215,0.941296026,-9.604370515,1.520587871,0,9.769450275
216,3.831868893,1.541672062,10.54760646,1,11.32748754
217,1.80741212,21.64205587,12.68549495,1,25.15088673
218,12.40212757,-7.192059164,-14.5365565,1,20.41690374
219,4.240520065,3.489855706,-1.660948475,0,5.737582514
220,11.11965716,1.521294307,11.54277253,1,16.09958724
221,1.416010568,0.855142105,-5.713389264,0,5.948039243
222,-17.01768358,7.437608684,14.09692348,1,23.31614953
223,1.999457166,6.420715739,-5.780940036,0,8.868071225
224,-0.482902612,8.435020504,2.45145529,0,8.797294975
225,-11.71206187,15.51258393,7.091661269,1,20.6906818
226,7.987745552,-2.259381016,4.694690502,0,9.536718538
227,-10.52147069,16.1821643,-3.908744624,1,19.6937064
228,-12.54035948,5.048527306,-1.870731471,1,13.6472664
229,-2.822256173,20.17492269,10.25323359,1,22.80617098
230,-0.395970356,6.339860479,6.01607614,0,8.748931109
231,-2.418308654,14.81920934,-13.25898766,1,20.03142371
232,-17.55384846,-15.50808963,-10.65610794,1,25.73307359
233,0.814097474,2.119835616,1.581680805,0,2.767340222
234,-0.972328109,5.149079988,10.70620294,0,11.91978305
235,-19.5523697,-10.42487523,-20.90355235,1,30.46197113
236,0.084983435,5.076214752,5.545548128,0,7.518529274
237,-4.047244042,-16.93662605,-14.18760764,1,22.46147139
238,4.932963785,8.505118165,15.8586698,1,18.65927583
239,-14.37159709,2.692502276,-13.5248045,1,19.91764816
240,-3.462646721,-1.368426704,5.474526036,0,6.620645684
241,-4.112892832,-1.700771809,-6.132774903,0,7.577561627
242,-8.021762982,-0.146212861,8.457578542,1,11.65764532
243,1.687489726,-2.767238554,14.70304147,1,15.05605058
244,-14.32754847,3.698321251,-4.170934233,1,15.3737737
245,-8.122981819,0.39199225,-4.745750649,0,9.415871748
246,-8.031852905,-8.392203788,-0.816698484,1,11.64503078
247,3.463638607,-17.72459459,-18.96183966,1,26.18605371
248,-6.450897875,-1.927693404,6.285212369,0,9.210536346
249,2.796702322,10.15566845,-5.511345512,1,11.88840085
250,-20.78856904,1.743999227,8.304460647,1,22.45373472
251,3.224134066,4.605849416,-10.52565161,1,11.933073
252,5.052739281,-8.554025886,2.069276965,0,10.14807569
253,2.401196973,8.464006761,-3.065225264,0,9.316692722
254,3.914343247,1.454021046,-13.94223851,1,14.5541154
255,-4.098495166,9.843641298,-3.977036979,0,11.38032336
256,5.659382486,-3.808604605,8.618914959,1,10.99180487
257,8.443242184,21.49896367,14.31457025,1,27.17352938
258,8.952652974,4.008154919,1.245375848,0,9.887682343
259,-7.359524109,6.415748238,-4.779932546,1,10.87070263
260,-17.97183589,-5.182386025,20.70107153,1,27.8994332
261,-10.35786074,11.13944327,16.29232042,1,22.28928397
262,-5.421033722,6.49601275,3.757319428,0,9.257604309
263,6.573667051,0.287515293,-1.343089504,0,6.715627517
264,15.1102113,9.468853378,20.4499931,1,27.1326351
265,-5.202889693,1.218910973,8.785667556,1,10.28317847
266,-10.77231046,21.36297555,-20.32200813,1,31.39113588
267,-3.918041132,16.09165384,-16.38684791,1,23.29852258
268,0.604153267,19.16004281,13.10125537,1,23.21885299
269,4.275432121,-5.28015759,0.463335928,0,6.809850525
270,2.352320415,5.564450397,-7.571924464,0,9.686617554
271,16.61340263,-15.36135456,9.920923195,1,24.70629633
272,-18.69235745,-8.081070354,-9.813165057,1,22.60544477
273,0.961079728,-1.584829636,3.138840093,0,3.645226516
274,7.863260769,-7.383746448,0.683699269,1,10.80823881
275,3.148096073,0.925572986,-7.593611666,0,8.272250744
276,-1.693561141,8.813074122,7.056459816,0,11.41630632
277,-2.507417776,0.161383102,-4.248469233,0,4.935856484
278,-14.74195209,-7.411346877,18.71172471,1,24.94758216
279,18.99571288,9.531551103,-15.95472624,1,26.57519264
280,6.870805242,-1.106247943,-4.18844043,0,8.122486222
281,-9.33092773,7.488944284,12.16400361,1,17.06204802
282,-6.24019285,-3.150503858,-6.586874494,0,9.604821548
283,17.56598848,12.0011861,14.31733572,1,25.64329388
284,-18.82046476,17.14718338,-20.48899557,1,32.68080065
285,-1.87253087,-21.23515087,-10.06958875,1,23.57614519
286,2.821064083,-1.695119631,-6.54951137,0,7.329933991
287,-1.517647662,-3.934615751,8.007461797,0,9.050077346
288,-7.846584165,-5.556833673,2.160873179,0,9.854778355
289,2.176860626,-4.938987516,8.137658956,0,9.764927709
290,12.88777986,21.69001535,-6.461973312,1,26.0443609
291,4.230639308,-0.406777871,6.776926264,0,7.999406652
292,4.670989847,1.319889983,8.618247855,0,9.891129956
293,-3.518534718,5.169705005,-5.094879393,0,8.066209297
294,-3.930044701,0.380860716,8.299753002,0,9.191093848
295,-0.047339993,-5.738746026,3.136164745,0,6.539952319
296,-4.97498918,3.260899183,1.434342328,0,6.118931176
297,-1.25159184,-7.03400493,-15.84453629,1,17.38082385
298,18.05963402,-6.548608995,6.511811885,1,20.28394327
299,-13.75273403,-14.09106098,-2.378976724,1,19.8331849
300,5.080069218,-1.758208024,4.356945492,0,6.919636749
301,-17.00791782,-9.739446266,-6.619385655,1,20.68676748
302,0.912113272,-1.975703951,-1.784727103,0,2.814357396
303,-5.352145316,15.43896648,-7.702221256,1,18.06464386
304,-7.11689115,16.50229374,6.413538628,1,19.08164867
305,2.435940088,-7.483764674,-0.318978553,0,7.876692524
306,-16.92944438,18.36875178,-1.962249648,1,25.05728542
307,-14.79352629,8.743024463,-3.89330145,1,17.61949752
308,-8.952508214,0.362602614,3.197808796,0,9.513404494
309,1.985619052,0.759327537,-7.856211184,0,8.138753927
310,-1.899443622,-7.159972537,14.0188736,1,15.8556586
311,-4.369635737,-20.7253707,0.829593615,1,21.1972388
312,-13.0981222,8.876052097,3.561320961,1,16.21814147
313,3.571862497,4.488241247,-2.801397467,0,6.383599217
314,-8.887770178,7.660272399,2.182131498,0,11.93456869
315,5.812137336,8.530978311,7.350667073,1,12.67244403
316,0.015637487,2.578962975,5.998439374,0,6.529362104
317,9.385509382,3.389762924,-3.532262131,1,10.58561074
318,7.288615493,2.399787726,-4.586458923,0,8.939714894
319,2.688799125,-1.341120921,-10.85364205,1,11.26187338
320,-4.868030339,4.578317914,2.332443699,0,7.078065266
321,-19.0415489,2.811794474,3.933152279,1,19.6457746
322,-0.436560523,-2.38563999,3.782159396,0,4.492949248
323,-5.465166087,-0.944484938,-10.24670889,0,11.65140057
324,6.585658793,-5.217529022,0.821244019,0,8.44203486
325,10.90944289,-1.903860181,-15.73814365,1,19.24395472
326,1.652836472,-0.839294139,-10.63264971,1,10.79303122
327,3.104153202,-4.849445171,2.893681581,0,6.44408866
328,-5.107071826,-13.72490546,-10.97399054,1,18.29982735
329,5.92754415,-17.50313486,-7.37821702,1,19.89808021
330,-7.18691935,-1.812655427,-2.559308868,0,7.841402382
331,-3.050126671,-1.513422399,8.254383956,0,8.929085874
332,19.38356601,-3.370323398,19.36147833,1,27.60341563
333,3.202301723,10.405699,2.310754264,0,11.12982001
334,3.882825309,-9.959586649,3.272627086,0,11.17943588
335,-3.221443129,-0.923822585,-19.51908449,1,19.80469145
336,9.939577099,-9.552953178,2.496864804,1,14.01029768
337,7.346416486,-21.87396201,-18.32173478,1,29.46397826
338,4.558487207,0.200291125,5.601613375,0,7.22481796
339,3.089228575,-6.265099994,-6.704468462,0,9.682185109
340,-3.525013707,-0.98356811,6.734866634,0,7.664956389
341,0.042251004,-9.305693209,-2.658728445,0,9.678147973
342,6.843385418,11.20403071,-0.463316412,1,13.13685238
343,-9.732127136,12.5263126,-14.05180413,1,21.19141348
344,6.54497525,6.121921747,3.491919441,0,9.618114591
345,-10.5911039,-12.86821761,-17.0354382,1,23.83209309
346,2.136961372,-3.289861752,4.900679314,0,6.277455854
347,2.956269536,2.004395192,-7.234119677,0,8.067813654
348,-10.90965961,-18.85192573,-4.999899894,1,22.34758993
349,1.243661352,-1.976956707,5.582455129,0,6.051351638
350,-1.62339448,3.991907517,10.37776453,1,11.23693605
351,0.202035785,12.58108311,-7.235546708,1,14.51473757
352,-2.066609515,-0.411030344,-8.638494448,0,8.891760633
353,8.614404176,8.617827849,5.604673924,1,13.4122066
354,3.523641424,1.172300488,10.34410961,1,10.99049321
355,-19.68611831,-9.710097114,7.474093308,1,23.18817179
356,-11.2212532,11.63822006,18.31591506,1,24.43025653
357,0.185037694,-3.972040115,-3.341294174,0,5.193802882
358,-17.66030619,13.7177156,4.434525756,1,22.79752519
359,-19.1006154,-4.899970316,-12.90729734,1,23.56780733
360,-15.41710418,14.50878434,-8.330999144,1,22.75076858
361,5.785271452,3.073924364,4.35123538,0,7.864580478
362,-0.488018018,-10.46576413,20.61527763,1,23.1248795
363,-5.169788391,21.22124786,-7.887991744,1,23.2225857
364,17.55473545,0.169099845,18.02292787,1,25.1599535
365,2.452096943,10.09551758,20.63886292,1,23.10616622
366,4.551310803,3.991412962,-5.099923408,0,7.915492797
367,-14.83313409,-18.53767901,-4.082918038,1,24.09019779
368,-16.43358209,-0.484033592,-15.93396064,1,22.89515255
369,-11.7158164,8.851318169,14.34192411,1,20.52552008
370,-0.685128657,-3.455008936,2.978334829,0,4.612696216
371,-12.84595057,-21.73060859,15.12028841,1,29.42551473
372,-1.412433033,6.667310211,-0.026960482,0,6.815329734
373,0.421472348,19.48126813,-5.063811987,1,20.13304842
374,17.16940114,0.422384145,0.841913236,1,17.19521916
375,3.41820036,-4.524062396,4.138135273,0,7.019643709
376,7.109756726,-7.109697785,2.342389093,0,10.32391544
377,-1.109352761,-2.381483415,0.439837356,0,2.663753686
378,-10.50154057,10.39841783,-3.694136794,1,15.23338749
379,-0.910283521,-6.057043726,-3.692571865,0,7.15202641
380,11.37474886,-14.26825526,-15.23121646,1,23.76884462
381,-2.145796732,5.916399605,1.443683084,0,6.456969006
382,-3.189997955,-7.105031013,2.955648399,0,8.33027071
383,-0.064537731,-11.62592327,-12.68854532,1,17.20945784
384,-7.2346661,-2.693570994,5.083375579,0,9.243182653
385,3.683370838,3.441740745,-5.30871726,0,7.320879663
386,-2.85667336,-6.907544243,1.505005135,0,7.624945286
387,10.78927923,0.320493037,3.318233296,0,11.29256101
388,4.836706699,-0.699159834,-8.407690452,0,9.724804106
389,9.546818411,2.922009728,1.961326923,0,10.17480643
390,2.452994526,2.662965601,-3.391888155,0,4.96119675
391,9.530666582,16.00596679,-20.91011517,1,28.00459774
392,-11.78557063,7.556127676,-1.546625774,1,14.08498462
393,-10.56157916,19.98950847,-6.936338513,1,23.64825988
394,0.907653222,10.11125918,-1.971309213,0,10.34154034
395,5.659355995,3.160635579,-1.43757305,0,6.639619253
396,1.031432077,-5.678614594,4.842280807,0,7.53380377
397,-2.57029507,-3.855828407,-10.37612914,0,11.36388514
398,4.149276257,-8.284023025,19.00443787,1,21.14261549
399,-7.763354107,5.540050942,-1.882135411,0,9.72133042
400,-2.590059325,-6.722974647,5.111238167,0,8.83354691
401,11.54015734,16.85276967,14.83146254,1,25.24209496
402,1.707791055,9.120878941,11.06982419,1,14.44465266
403,6.604317243,2.612258401,-0.199124072,0,7.104966615
404,2.434725701,-1.610458169,-9.840578807,1,10.26442673
405,-0.010290638,-4.665936113,9.195179428,1,10.31127492
406,-21.57782279,8.818534314,-4.686018385,1,23.77662197
407,-7.895052242,3.66890591,-2.244174354,0,8.99049715
408,-8.375839677,-10.23230243,15.97035921,1,20.73420065
409,5.592882631,-4.848903759,-3.88808002,0,8.361182335
410,-4.320370846,-4.290527545,-1.166955274,0,6.199678659
411,5.954293568,-9.151983196,-3.909043059,0,11.59711283
412,-2.419899598,1.772532453,-6.06560719,0,6.766784757
413,16.54874411,8.947122279,-3.465739867,1,19.12912129
414,-17.20145779,9.280484411,-7.538272376,1,20.94858209
415,-12.14957537,15.14186876,21.05557011,1,28.63957758
416,-0.996829988,-0.293311706,6.136252261,0,6.223607763
417,-8.453542847,21.72186928,-21.87806766,1,31.96798142
418,1.76569545,8.656935201,-2.841453871,0,9.280844121
419,-2.255766878,8.019079178,-2.328298933,0,8.649571723
420,-19.61949467,-8.62632176,8.074147349,1,22.90261675
421,-13.53044959,-8.876758846,-11.49041366,1,19.84690202
422,6.736632652,18.81066867,18.04960819,1,26.92604373
423,-11.39995781,-11.46888254,10.50692838,1,19.28444577
424,-19.50516627,20.27739399,21.38037666,1,35.33758232
425,3.955301734,1.316226158,3.065060314,0,5.174114208
426,-16.11988265,-21.23490606,16.69985027,1,31.45881198
427,1.163630053,-7.648222353,1.773338892,0,7.936880426
428,-2.563200004,3.562731495,-14.06992567,1,14.738584
429,0.161150014,2.54248277,4.07631169,0,4.806922608
430,-12.73852208,13.70262622,16.78209543,1,25.13305865
431,-6.151349908,-5.440841124,2.688371195,0,8.641134041
432,-3.880363902,-4.306192323,7.409195705,0,9.407268325
433,-7.977517839,15.29530722,-8.735580152,1,19.33643128
434,-9.542707921,-5.044213182,-3.901923244,0,11.47747211
435,-18.43037377,13.94530527,-18.58953948,1,29.66009431
436,-2.176567672,-1.986080828,2.414530324,0,3.80945148
437,1.645542376,5.086845977,3.084844736,0,6.172526124
438,14.80904896,10.86625552,11.4112855,1,21.62408095
439,5.756073377,1.312439096,0.959036864,0,5.981189582
440,2.39237734,-4.20295938,-0.247633401,0,4.842484816
441,-14.26658329,18.81615503,-6.435864518,1,24.4745468
442,1.625293482,-6.778623148,-3.13078264,0,7.641538498
443,12.48749259,-7.479358396,19.28647568,1,24.16291409
444,18.08442828,-13.40405545,-14.57857499,1,26.81883848
445,-2.505204104,-10.88775195,14.93090891,1,18.64808921
446,9.689007083,1.647690598,-2.159804604,0,10.06262881
447,-0.158720239,2.411296938,-3.98587262,0,4.661193579
448,-7.769205811,-0.404115899,-3.827994052,0,8.670490589
449,11.61226505,21.75715797,-9.858912635,1,26.55968337
450,1.568525592,9.182919132,-0.837693896,0,9.353502413
451,1.244059826,-0.067309445,-4.189738898,0,4.371055644
452,-3.835012659,1.78826742,1.894207251,0,4.636080626
453,7.609029997,19.32693487,-1.726500448,1,20.84246993
454,-3.854522364,1.091916995,7.469051279,0,8.475632861
455,8.218275582,-2.512027867,-4.149523847,0,9.543001923
456,-14.75123462,-6.559285763,5.216546357,1,16.96571568
457,-11.00743426,9.180652603,-6.858838744,1,15.88998616
458,-7.056374516,5.072847591,-5.70805052,0,10.39750185
459,1.467299394,-1.467134565,8.264163689,0,8.520672087
460,3.822076547,4.986130012,-9.356928581,1,11.27039813
461,7.135877464,0.104800325,1.645493358,0,7.323890952
462,7.19244782,0.523540304,6.422692581,0,9.6569343
463,-2.554783436,-1.091898043,4.49171577,0,5.281540523
464,-14.52516511,9.465069786,-10.89034503,1,20.47358255
465,-4.818227133,-0.651750278,-0.319548184,0,4.872597067
466,-0.040752593,2.405319624,5.68775081,0,6.175575482
467,5.896066868,1.528486033,1.061615272,0,6.182790717
468,-20.15214737,1.384176136,10.76139507,1,22.88738978
469,-21.10855562,17.4526143,0.24973082,1,27.39027622
470,-6.0086583,7.676676026,-0.308199616,0,9.753477143
471,-1.685169962,-2.408526374,-6.742680559,0,7.355578714
472,-9.669853408,-1.881226038,-4.259469074,1,10.73257439
473,1.119990762,-16.65985936,8.949568113,1,18.94465789
